Reference ID,Category,Product Title,Description,MRP,Base Price,,
457,Electronics & Appliances,ELECTRIC BREAST PUMP,ELECTRIC BREAST PUMP (Gold & Pink)    ," 8999",8909,,
775,Electronics & Appliances,YOGA ROLLER VIBRATING,YOGA ROLLER VIBRATING (CIRCLE DOT PATTERN)    ," 8999",8909,,
776,Electronics & Appliances,YOGA ROLLER VIBRATING,YOGA ROLLER VIBRATING (WAVE PATTERN)    ," 8999",8909,,
1101,Health Appliances,ELECTRIC BREAST PUMP ,ELECTRIC BREAST PUMP ," 8999",8909,,
1122,Health Appliances,YOGA ROLLER VIBRATING,waldon vibrating yoga roller," 8999",8909,,
1123,Health Appliances,YOGA ROLLER VIBRATING,waldon vibrating yoga roller," 8999",8909,,
760,Electronics & Appliances,FETAL DOPPLER,FETAL DOPPLER    ," 6999",6929,,
1116,Health Appliances,FETAL DOPPLER,Dr. Odin fetal Doppler," 6999",6929,,
1117,Home Furnishing,Bedsheet Set,Bright Festive Collection Pack of 7 Bedsheets with 14 Pillow Covers," 6900",6831,,
1118,Home Furnishing,Bedsheet Set,Delightful collection pack of 7 bed sheet with 14 pillow covers," 6500",6435,,
1119,Home Furnishing,Bedsheets,Xtromac New Shape Pack of 8 Double Bedsheet + 16 PCs + Free 5 N95 Masks," 5999",5939,,
1120,Home Furnishing,Bedsheet Combo Set,own your pastels 5 cotton bed sheet + 10 pillow covers + 1 bedsheet free," 5500",5445,,
1121,Home Furnishing,Bedsheet Set,Classic D?cor pack of 7 bed sheet with 14 pillow covers," 5500",5445,,
1122,Home Furnishing,Bedsheet Set,Spring Summer Collection Pack of 7 Bedsheetts with 14 Pillow  Covers," 5500",5445,,
1123,Home Furnishing,Bedsheet Combo Set,Pastel collection: 5 Cotton bed sheet + 10 pillow covers + 5 cushion covers," 5200",5148,,
1124,Home Furnishing,Bedsheet Combo Set,Jaipuri Heritage Pack of 5 Cotton Bedsheets with 10 Pillow Covers," 5200",5148,,
1125,Home,Purple Wardrobe,Wardrobe+Shoe Rack+Organizer - Purple," 4999",4949,,
1126,Home Furnishing,Bedsheet Set,Grand Festive Bedroom Collection," 4999",4949,,
1127,Home Furnishing,Bedsheet Set,New Graceful Collection Pack of 7 Pc Micro Bedsheets + 14  Pc Pillow covers," 4999",4949,,
1128,Home Furnishing,Bedsheet Set,Print Story Collection Pack of 7 Micro Bedsheets with 14 Pc Pillow Covers," 4999",4949,,
1129,Home,Wardrobe Organzier,Printed Wardrobe + Shoe Rack + Organizer," 4999",4949,,
1130,Home Furnishing,Jaipuri Print Bedsheet,Royal Roots- pack of 5 jaipuri print bedsheet," 4999",4949,,
1131,Home Furnishing,Luxury Covers Set,Pick Any 1 - 41 Pc Chenille Luxury Sofa + Deewan Set - Maroon," 4999",4949,,
1132,Home Furnishing,Luxury Covers Set,Pick Any 1 - 41 Pc Chenille Luxury Sofa + Deewan Set - Brown," 4999",4949,,
1133,Home Furnishing,Luxury Covers Set,Pick Any 1 - 41 Pc Chenille Luxury Sofa + Deewan Set - Purple," 4999",4949,,
1134,Home Furnishing,Living Room Set,40 Pcs Living Room Set + Free 1 Matching Fleece Blanket Blue," 4999",4949,,
1135,Home Furnishing,Living Room Set,40 Pcs Living Room Set + Free 1 Matching Fleece Blanket Brown," 4999",4949,,
1136,Home Furnishing,Living Room Set,40 Pcs Living Room Set + Free 1 Matching Fleece Blanket Maroon," 4999",4949,,
640,Home & Kitchen,Camping tent,Camping Tent Portable1 Pcs Sleeping Bag - 4TENTSLEEPING    ," 4999",4949,,
780,Home & Kitchen,Camping Portable Tent,"Camping Tent Foldable for Picnic/Trekking - 2 People,1 Pcs Sleeping Bag"," 4999",4949,,
995,Home & Kitchen,Camping foldable tent,"Anti Ultraviolet Outdoor Camping Portable Foldable Tent, Water Resistant "," 4999",4949,,
997,Apparel,Women's Leather Jacket,Leather Retail® Women's Solid Faux Leather Jacket XS  Black," 4999",4949,,
998,Apparel,Women's Leather Jacket,Leather Retail® Women's Solid Faux Leather Jacket S Black," 4999",4949,,
999,Apparel,Women's Leather Jacket,Leather Retail® Women's Solid Faux Leather Jacket M Black," 4999",4949,,
1000,Apparel,Women's Leather Jacket,Leather Retail® Women's Solid Faux Leather Jacket L Black," 4999",4949,,
1001,Apparel,Women's Leather Jacket,Leather Retail® Women's Solid Faux Leather Jacket XL Black," 4999",4949,,
1002,Apparel,Women's Leather Jacket,Leather Retail® Women's Solid Faux Leather Jacket XXL Black," 4999",4949,,
1003,Apparel,Women's Leather Jacket,Leather Retail® Women's Solid Faux Leather Jacket 3XL Black," 4999",4949,,
1004,Apparel,Women's Leather Jacket,Leather Retail® Women's Solid Faux Leather Jacket XS Cherry," 4999",4949,,
1005,Apparel,Women's Leather Jacket,Leather Retail® Women's Solid Faux Leather Jacket S Cherry," 4999",4949,,
1006,Apparel,Women's Leather Jacket,Leather Retail® Women's Solid Faux Leather Jacket M Cherry," 4999",4949,,
1007,Apparel,Women's Leather Jacket,Leather Retail® Women's Solid Faux Leather Jacket L Cherry," 4999",4949,,
1008,Apparel,Women's Leather Jacket,Leather Retail® Women's Solid Faux Leather Jacket XL Cherry," 4999",4949,,
1009,Apparel,Women's Leather Jacket,Leather Retail® Women's Solid Faux Leather Jacket XXL Cherry," 4999",4949,,
1010,Apparel,Women's Leather Jacket,Leather Retail® Women's Solid Faux Leather Jacket 3XL Cherry," 4999",4949,,
1011,Apparel,Women's Leather Jacket,Leather Retail® Women's Solid Faux Leather Jacket XS Pink," 4999",4949,,
1012,Apparel,Women's Leather Jacket,Leather Retail® Women's Solid Faux Leather Jacket S Pink," 4999",4949,,
1013,Apparel,Women's Leather Jacket,Leather Retail® Women's Solid Faux Leather Jacket M Pink," 4999",4949,,
1014,Apparel,Women's Leather Jacket,Leather Retail® Women's Solid Faux Leather Jacket L Pink," 4999",4949,,
1015,Apparel,Women's Leather Jacket,Leather Retail® Women's Solid Faux Leather Jacket XL Pink," 4999",4949,,
1016,Apparel,Women Leather Jacket,Leather Retail® Women's Solid Faux Leather Jacket XXL Pink," 4999",4949,,
1017,Apparel,Women Leather Jacket,Leather Retail® Women's Solid Faux Leather Jacket 3XL Pink," 4999",4949,,
1087,Home & Kitchen,Portable camping tent,Camping Tent Portable Foldable Tent Sleeping Bag 2 Pcs    ," 4999",4949,,
1089,Home & Kitchen,Portable trekking tent,"Camping Tent Portable Foldable Tent -8 Person Tent ,Sleeping Bag 1 Pcs     "," 4999",4949,,
628,Electronics & Appliances,SMART WALKING STICK    ,SMART - FOLDABLE WALKING STICK    ," 4700",4653,,
1111,Health Appliances,FOLDABLE WALKING STICK,Foldable walking stick," 4700",4653,,
991,Electronics & Appliances,ELECTRONIC SCALE WHITE,ELECTRONIC PERSONAL SCALE WHITE    ," 4599",4553,,
992,Electronics & Appliances,ELECTRONIC SCALE WHITE,ELECTRONIC PERSONAL SCALE BLACK    ," 4599",4553,,
1133,Health Appliances,ELECTRONIC PERSONAL SCALE,Dr.Odin electronic personal scale White," 4599",4553,,
1134,Health Appliances,ELECTRONIC PERSONAL SCALE,Dr.Odin electronic personal scale Black," 4599",4553,,
1135,Home Furnishing,Bedsheet Set,19 Piece Set : 16 Piece Diwan Set with 1 Free Carpet & 2 Door Mats," 4500",4455,,
806,Electronics & Appliances,BODY FAT ANALYZER    ,BODY FAT ANALYZER BLACK    ," 4450",4406,,
807,Electronics & Appliances,BODY FAT ANALYZER,BODY FAT ANALYZER WHITE    ," 4450",4406,,
1126,Health Appliances,BODY FAT ANALYZER BLACK,Dr.Odin body fat analyzer black," 4450",4406,,
1127,Health Appliances,BODY FAT ANALYZER WHITE,Dr.Odin body fat analyzer white," 4450",4406,,
808,Electronics & Appliances,Walking stick,SMART - WALKING STICK    ," 4400",4356,,
1128,Health Appliances,SMART - WALKING STICK,Dr. Odin smart walking stick black," 4400",4356,,
1129,Home Furnishing,Bedsheet Set,Diwali Collection Pack of 8 Micro Double Bedsheet with 16 Pillow  Covers," 4000",3960,,
1130,Kitchen,Pressure Cooker Combo,Shagun 4 Pressure Cooker Combo with 2 Common Lids," 3999",3959,,
1131,Kitchen,Glass Cooktop,Pick Any 1 Safeline Glass Cooktop (ISI Marked) - 3 Burner," 3999",3959,,
1132,Kitchen,Container Set,SNB Mega Hot & Cold Combo," 3999",3959,,
440,Home & Kitchen,Powerful Drill Machine,Shopper52 GBT New 10mm Powerful Drill Machine With Semi Metal Body," 3999",3959,,
451,Home & Kitchen,Electric Drill Machine,Shopper52 10mm Powerful Electric Drill Machine With 13Pcs Drill Set ," 3999",3959,,
461,Home & Kitchen,10 mm Drill Machine,Unique Gadget Buy 10mm Drill Machine with  Damaged Screw Extractor   ," 3999",3959,,
464,Home & Kitchen,Drill Machine  Wrench Set,Buy Shopper52 New 10mm  Drill Machine With Snap N Grip Wrench Set    ," 3999",3959,,
